alert_id,alert_start,alert_end,nb_anomalies,worst_score,duration,date,density,severity,severity_score,egauge,register,alert_type
112,2026-06-06T14:26:47.000Z,2026-06-06T14:36:01.000Z,12,-0.1518853548693204,554.0,2026-06-06,0.02166064978039594,MEDIUM,171.0455656064608,egauge90773,i11,Production Anomaly
113,2026-06-06T15:02:32.000Z,2026-06-06T15:10:59.000Z,2,0.0057193556858853,507.0,2026-06-06,0.003944773167761788,MEDIUM,152.90171580670577,egauge90773,i11,Production Anomaly
114,2026-06-06T15:27:52.000Z,2026-06-06T15:27:52.000Z,1,0.0116117435953055,0.0,2026-06-06,1000000.0,MEDIUM,0.4034835230785917,egauge90773,i11,Production Anomaly
115,2026-06-06T15:55:23.000Z,2026-06-06T15:55:24.000Z,2,-0.0815385296988167,1.0,2026-06-06,1.9999980000020001,MEDIUM,1.1244615589096452,egauge90773,i11,Production Anomaly
116,2026-06-06T16:12:17.000Z,2026-06-06T16:12:17.000Z,1,0.0123899154117687,0.0,2026-06-06,1000000.0,MEDIUM,0.4037169746235306,egauge90773,i11,Production Anomaly
117,2026-06-06T16:34:18.000Z,2026-06-06T16:45:31.000Z,4,-0.018656745992909,673.0,2026-06-06,0.005943536395329069,MEDIUM,203.50559702379786,egauge90773,i11,Production Anomaly
118,2026-06-06T17:02:36.000Z,2026-06-06T17:02:36.000Z,1,-0.0025835449940904,0.0,2026-06-06,1000000.0,MEDIUM,0.40077506349822717,egauge90773,i11,Production Anomaly
119,2026-06-06T17:24:14.000Z,2026-06-06T17:51:20.000Z,11,-0.0937942605603932,1626.0,2026-06-06,0.006765067646515948,MEDIUM,492.22813827816805,egauge90773,i11,Production Anomaly
120,2026-06-06T18:53:16.000Z,2026-06-06T19:00:30.000Z,2,-0.0108511370378714,434.0,2026-06-06,0.004608294920257385,MEDIUM,131.00325534111136,egauge90773,i11,Production Anomaly
121,2026-06-06T19:52:19.000Z,2026-06-06T20:05:23.000Z,10,-0.0575075524614377,784.0,2026-06-06,0.012755102024547063,MEDIUM,239.2172522657384,egauge90773,i11,Production Anomaly
122,2026-06-06T20:32:54.000Z,2026-06-06T21:06:30.000Z,7,-0.0883893836485593,2016.0,2026-06-06,0.0034722222204998897,MEDIUM,607.6265168150945,egauge90773,i11,Production Anomaly
123,2026-06-06T21:38:57.000Z,2026-06-06T21:41:29.000Z,3,-0.0105264596141744,152.0,2026-06-06,0.019736841975415514,MEDIUM,46.80315793788426,egauge90773,i11,Production Anomaly
124,2026-06-06T22:14:07.000Z,2026-06-06T22:26:53.000Z,4,-0.0369878136819175,766.0,2026-06-06,0.0052219321080653625,MEDIUM,231.41109634410455,egauge90773,i11,Production Anomaly
125,2026-06-06T22:39:03.000Z,2026-06-06T22:39:03.000Z,1,-0.0442031657253938,0.0,2026-06-06,1000000.0,MEDIUM,0.4132609497176182,egauge90773,i11,Production Anomaly
126,2026-06-06T23:07:32.000Z,2026-06-06T23:15:49.000Z,3,-0.0143298460348915,497.0,2026-06-06,0.006036217291677631,MEDIUM,150.30429895381045,egauge90773,i11,Production Anomaly
127,2026-06-07T00:26:09.000Z,2026-06-07T00:33:26.000Z,6,-0.0579369891264869,437.0,2026-06-07,0.013729977085286093,MEDIUM,133.51738109673795,egauge90773,i11,Production Anomaly
128,2026-06-07T00:52:17.000Z,2026-06-07T00:52:17.000Z,1,0.0037525109297992,0.0,2026-06-07,1000000.0,MEDIUM,0.4011257532789398,egauge90773,i11,Production Anomaly
129,2026-06-07T01:21:36.000Z,2026-06-07T01:22:45.000Z,4,-0.031916621441277,69.0,2026-06-07,0.05797101365259401,MEDIUM,22.309574986432384,egauge90773,i11,Production Anomaly
130,2026-06-07T01:42:59.000Z,2026-06-07T01:43:00.000Z,2,-0.0186624443269357,1.0,2026-06-07,1.9999980000020001,MEDIUM,1.1055987332980808,egauge90773,i11,Production Anomaly
131,2026-06-07T03:03:24.000Z,2026-06-07T03:16:33.000Z,4,-0.0250386695114189,789.0,2026-06-07,0.005069708485336237,MEDIUM,238.30751160085342,egauge90773,i11,Production Anomaly
132,2026-06-07T03:29:33.000Z,2026-06-07T03:34:17.000Z,6,-0.0872369431531947,284.0,2026-06-07,0.02112676048899028,MEDIUM,87.62617108294597,egauge90773,i11,Production Anomaly
133,2026-06-07T03:59:20.000Z,2026-06-07T04:18:35.000Z,8,-9.822412327320509E-4,1155.0,2026-06-07,0.006926406920410037,MEDIUM,349.7002946723698,egauge90773,i11,Production Anomaly
134,2026-06-07T04:43:51.000Z,2026-06-07T05:23:43.000Z,9,-0.0579486639952137,2392.0,2026-06-07,0.0037625418044470982,MEDIUM,721.2173845991986,egauge90773,i11,Production Anomaly
135,2026-06-07T05:42:59.000Z,2026-06-07T06:03:25.000Z,10,-0.0484010820371874,1226.0,2026-06-07,0.008156606844896731,MEDIUM,371.8145203246112,egauge90773,i11,Production Anomaly
136,2026-06-07T06:16:35.000Z,2026-06-07T06:16:35.000Z,1,0.012013538150735,0.0,2026-06-07,1000000.0,MEDIUM,0.40360406144522054,egauge90773,i11,Production Anomaly
137,2026-06-07T06:40:11.000Z,2026-06-07T06:51:34.000Z,215,-0.296312096928732,683.0,2026-06-07,0.3147877008568262,HIGH,290.9888936290786,egauge90773,i11,Production Anomaly
138,2026-06-07T07:03:16.000Z,2026-06-07T07:22:33.000Z,5,0.00386183456597,1157.0,2026-06-07,0.004321521171718651,MEDIUM,349.10115855036975,egauge90773,i11,Production Anomaly
